0: linda davis                   reba mcentire
1840: gabrielle union               craig perry
1841: 526 miles                     528 miles
1842: ren\xc3\xa9e taylor           kristen schaal
1843: september 27, 2017            april 18, 2018
1844: richard fairbrass             jack antonoff
1845: rob manzoli                   jack antonoff
1847: taylor swift                  jack antonoff
1848: fred fairbrass                jack antonoff
1849: emmet brickowski              will arnett
1850: the marshall tucker band      running like the wind
1851: julius caesar                 a seer
1852: neue galerie, new york        austria
1854: january 14, 2018              april 29, 2018
1856: march 30, 2018                january 1, 2019
1860: neil sedaka                   howard greenfield
1861: 247                           362
1862: sh\xc5\x8d                    pino lella
1863: september 9, 1850             1848
1864: danny devito                  charlie day
1866: joan collins                  bianca maria kajlich
1867: the seventh disney princess   three
1868: dan perri                     george lucas
1869: lucas                         george lucas
1870: david nolan                   joshua dallas
1873: 1978                          1921 and 1941
1874: christina aguilera            cher
1876: adolf hitler                  germany
1877: september 13, 1996            september 2013
1878: mus\xc3\xa9e d'orsay in paris musee d'orsay
1879: acamas                        neoptolemus
1880: misery                        patty hearst
1881: jack                          connie
1882: the states                    the central government
1883: luther strange                john mccain
1884: richard shelby                john mccain
1885: peter paul montgomery buttigiegpete buttigieg
1888: courtney thorne - smith       april michelle bowlby
1889: rafael nadal                  roger federer
1891: john thompson                 william lyon mackenzie king
1892: john a. macdonald             william lyon mackenzie king
1895: the alps                      the high alps
1896: 1998                          1999
1899: 1837                          1851
1900: jordan fisher                 rashad jennings
1905: university of albuquerque     stanford university
1906: internet layer                the internet layer
1907: etruscan                      italy
1908: may 30, 2017                  may 29, 2018
1909: 1945                          13 august 1961
1910: merle haggard and bonnie owenssammi smith
1911: wings                         chariots of fire
1913: c. rajagopalachari            c.v. raman
1915: sarvepalli radhakrishnan      c.v. raman
1916: andy bernard                  steve carell
1918: st john's wood                st john's wood, london
1920: christianity                  islam
1921: james madison                 john stuart mill
1922: 1741                          1897
1923: fred willard                  brad garrett
1924: acronym                       german
1926: christian                     religion
1927: 20 june 2011                  may 2011
1929: applebee's                    walmart
1930: implied powers                enumerated powers
1932: 270                           over 270
1933: onerepublic frontman ryan tedderonerepublic
1934: bay                           estuary
1935: gone with the wind            lonzo fleming
1936: josephine                     camilla luddington
1937: woodrow wilson                donald trump
1938: june 2018                     june 22, 2018
1939: s\xc3\xa8vres, france         geneva, switzerland
1940: july 16, 2017                 may 29, 2018
1943: goat                          the dog
1945: december 11, 1962             11 december 1962
1946: sir mian muhammad shafi       nawab salimullah khan
1947: throughout the body           a vein
1948: in august 2011                2013
1949: mariora goschen               georgia graham
1952: mkng                          negril
1953: neg                           negril
1954: commercial                    documents
1955: informative                   documents
1956: non-governmental organisationaldocuments
1957: governmental                  documents
1958: entertainment                 documents
1960: irina                         aro
1962: october 11, 2011              may 13, 2011
1963: 1965 .                        1965
1964: 2018                          2017 -- 18
1966: 1624                          1664
1967: alexandra daddario            shelley hennig
1972: islam                         christianity
1973: 27 april 1995                 27 april 1994
1975: february 1952                 6 february 1952
1976: special districts             single municipal government
1977: kevin kline                   josh gad
1979: 74 days                       approximately 120 days
1980: john lennon                   arthur alexander
1981: andy hill                     peter sinfield
1982: pete sinfield                 peter sinfield
1984: ambrosia                      katy perry
1986: vivienne segal                marti noxon
1988: nicolaus copernicus           aristarchus of samos
1989: daniel coulter reynolds       dan reynolds
1990: 12                            10
1993: plutarch heavensbee           plutarch
1994: 13                            thirteen
1995: september 13, 1969            june 14, 2002
1996: lyu haotian                   mark selby
1997: november 17, 1984             1997
1998: greek - speaking christians   gentile audience
2000: 74                            ken jennings
2001: oscar isaac                   sophie turner
2002: 4 april 1861                  april 17, 1861
2006: acrostic                      metre
2007: april 27, 2010                season 1
2008: on june 17, 1885              april 22, 1886
2009: tony curran                   sean connery
2012: ren\xc3\xa9e coleman          rosie o'donnell
2013: 1779                          april 1780
2014: packers                       green bay packers
2015: 233, andoni zubizarreta       11
2016: ciprofloxacin                 not recommended
2017: the ferreira triplets         geoffrey barone
2019: womesh chunder bonnerjee      womesh chandra bonnerjee
2020: 17th century                  1670
2022: cartoon network               adult swim
2023: radha mohan singh             krishna raj
2026: houston                       chicago
2027: los angeles                   chicago
2028: phoenix                       chicago
2029: new york                      chicago
2031: `` pat '' castagne            patrick s. castagne
2032: sinoatrial node               sinus node
2033: og parker                     migos
2034: deko                          migos
2035: nuclear transmutation         partial oxidation
2037: the latin arch in europe      spanish origin
2039: 1964                          john alan west
2041: potato                        rice
2042: a 1959 chevrolet impala lowriderchevrolet impala
2043: 2010                          march 26, 2010
2044: contract                      bilateral contracts
2045: swaziland                     algeria
2046: lesotho                       algeria
2047: new zealand                   algeria
2048: uruguay                       algeria
2049: august 2018                   august 9, 2018
2052: h.h. asquith                  david lloyd george
2053: 1969                          1978
2056: shea whigham                  jason liles
2058: july 9, 1991                  1991
2060: 1990                          1492
2062: 12                            july 18, 1897
2063: day of pentecost              acts of the apostles
2064: ie7                           internet explorer 11
2066: anoop mishra                  shumsher k. sheriff
2067: v10 fsi                       v8
2070: 31 december 1687              1687
2071: bc jean                       beyoncé
2072: in the middle ear             the middle ear
2073: the american revolutionary waramerican revolutionary war
2074: mandarin                      japanese
2075: the fifth season              fifth season
2076: the assemblies                the people
2077: mikhail lomonosov             antoine lavoisier
2078: december 28, 1987             may 1984
2080: han                           paul walker iv
2081: 24                            26
2082: atoms                         ions
2084: the government of british indiabritish goods
2086: april 24, 2018                may 8, 2018
2087: king features syndicate       united artists productions
2088: work for hire                 united artists productions
2089: debt ceiling                  current policies
2091: ben glover                    kurt cobain
2092: matt maher                    kurt cobain
2093: crowder                       kurt cobain
2095: early access                  early defibrillation
2096: early advanced cardiac life supportearly defibrillation
2097: early cpr                     early defibrillation
2099: five                          5
2100: paul reubens                  joe manganiello
2101: tom poston                    william barnett
2102: nelly                         the team
2103: the yardbirds                 meat loaf
2104: three                         187
2105: disneyland park               adventureland
2106: walt disney studios park      adventureland
2109: hamblen                       stuart hamblen
2112: peyton manning                drew brees
2113: bts                           bob dylan
2114: egypt                         anwar sadat
2116: in the seattle area           seattle metropolitan area
2117: human fertilization           asexual reproduction
2120: slightly less than 50 %       75 %
2121: 91                            todd frazier
2122: adam driver                   jimmy vee
2125: twelve times                  1
2126: full turgor                   plasmolysis
2127: oakland, california           oracle arena
2128: steve holland                 eric johann johnson
2129: interlingual homographs       homographs
2130: ancient roman senate          the united states constitution
2131: megan park                    matt smith
2132: the emulsion test             fat therapy
2134: approximately 16,000 students approximately 16,000
2135: northern europe               normandy
2136: july 9, 2003                  2003
2138: cuba                          galveston island
2139: texas                         galveston island
2140: 6,469.66                      about 6.2 billion
2141: 12 to 17 years                12 to 16 years
2142: dusty springfield             english band abc
2143: joe                           joe miller
2144: 125,000                       367,802
2145: november 17, 2017             october 26, 2017
2146: british architect herbert bakerherbert baker
2147: jason newsted                 cliff burton
2148: memoir                        epistolary novel
2149: many authors over many centuriesjoseph smith
2150: bryan robson                  bryan robson obe
2151: english origin                wales
2152: halle berry                   zora neale hurston
2153: bi-polar disorder             als
2155: sylva, north carolina         black mountain, north carolina
2156: twenty - five                 13
2158: first democratic system of governmentclassical antiquity
2159: confederate forces            the union
2160: cappelletti, john john cappellettivinny testaverde
2162: 1981, 2016                    1981
2164: kevin                         stuart
2165: mel                           stuart
2166: bob                           stuart
2171: brian keith                   maureen o'hara
2172: continental                   continental crust
2173: oceanic                       continental crust
2174: from the east coast           hollywood, california
2176: nepal                         hindu
2177: beef                          sirloin
2178: 1952                          may 2, 1975
2179: lesley gore                   tevin campbell
2180: cyan                          azure
2185: the bobby fuller four         the clash
2186: sonny curtis of the crickets  the clash
2188: neal dahlen                   mike woicik
2189: bill belichick                mike woicik
2190: ahmad shah durrani            the british
2191: margot robbie                 tara strong
2192: matt lanter                   bobs gannaway
2193: first sunday in november      second sunday in march
2195: dalton                        john dalton
2198: `` rite of passage ''         the season 5 premiere
2200: wu zun                        kate chastain
2201: jordan chan                   kate chastain
2202: will liu                      kate chastain
2203: du jiang                      kate chastain
2204: deng lun                      kate chastain
2205: india                         sri lanka
2206: her own father                ricky butcher
2207: randy toms                    donald walker
2210: izzie                         bill portman
2211: april kepner                  bill portman
2212: lazar wolf's dead wife        carol sawyer
2213: mathieu orfila                paracelsus
2214: bruno tonioli                 adam michael shankman
2216: aerys targaryen               leopold
2218: 1845                          december 29, 1845
2220: william desmond anthony pertweebill pertwee
2221: sheridan smith                alison steadman
2223: henry fonda                   lucille ball
2224: the hijra                     eid al - fitr
2225: the battle of bunker hill     battle of bunker hill
2228: midway through season 5       season six
2229: september 3, 2018             september 17, 2017
2230: jughead jones                 jughead & midge
2231: elizabeth cady stanton        susan b. anthony
2232: lucy stone                    susan b. anthony
2234: libertas, a roman goddess     libertas
2235: mayweather                    conor mcgregor
2236: tony hawk                     tom schaar
2237: confederate                   the union
2238: federal acquisition regulationcontracting officer
2240: beginning in august 2006      august 9, 2007
2241: yearly standardized tests     assessments in basic skills
2242: 2010                          2011
2243: 1979 -- 80                    june 1979
2244: august 15, 1971               october 1976
2246: guide andy harris             andy harris
2247: may 2, 2018                   may 10, 2018
2248: david jacob                   darlene
2249: paul fireman                  heritage golf group
2250: vallejo                       sebastopol
2251: crockett                      sebastopol
2252: northern californian towns    sebastopol
2253: benicia                       sebastopol
2254: san rafael                    sebastopol
2257: oliver martyn john phelps     james andrew eric
2258: front - wheel - drive         rear wheel drive
2261: 131 countries                 128
2263: ren\xc3\xa9e taylor           john roberts
2264: kalyan singh                  govind ballabh pant
2267: book of genesis               the new testament
2268: july 3, 2014                  july 8, 2014
2270: shane macgowan                jem finer
2274: bede                          geoffrey chaucer
2275: 13                            24
2277: little crow                   crazy horse
2278: big eagle                     crazy horse
2279: shakopee                      crazy horse
2280: wabasha                       crazy horse
2283: 2 august 1986                 may 2000
2284: 2 titles                      two
2285: e.g. daily                    elizabeth daily
2286: over 670                      over 680
2287: ajaz ahmed                    sultan kosen
2290: 51,634                        51,557
2292: dylan thomas sprouse          cole sprouse
2293: cole mitchell sprouse         cole sprouse
2294: blood gas test                arterial blood gas test
2295: 1979                          june 1979
2296: 25 september 1915             august 1914
2297: 1999                          january 2016
2298: 1790                          1882
2299: united states                 american victory
2300: continental rise              continental shelf
2302: april 22, 2018                may 20, 2018
2303: pel\xc3\xa9                   josef bican
2304: parallel syntax               chiasm
2305: ty montgomery                 willie d. davis
2306: f\xc3\xa9d\xc3\xa9ration internationale de football association211
2308: mapanna mallikarjun kharge    mallikarjun kharge
2309: palmdale                      mojave desert
2311: universal's sound stages      mojave desert
2312: victorville                   mojave desert
2313: 40.46                         435.56 sq feet
2315: 8.2. 56                       march 11, 2015
2316: chicago                       bill champlin
2317: arthur meighen                robert laird borden
2318: hayley podschun               lovely hoffman
2319: the dynamites                 lovely hoffman
2320: sarah jayne jensen            lovely hoffman
2321: brittany snow                 lovely hoffman
2323: 13                            10
2324: 3                             four
2325: auburn                        brooklyn
2326: albany                        brooklyn
2327: amsterdam                     brooklyn
2331: pishon                        tigris
2332: gihon                         tigris
2333: euphrates                     tigris
2334: the 1930s                     about 1880
2335: the kuiper belt               scattered objects
2336: counter clockwise             counterclockwise
2337: john cullum                   anthony edwards
2338: series comma                  serial comma
2339: harvard comma                 serial comma
2341: oxford comma                  serial comma
2342: karen sue trent               keith taylor
2343: in new mexico                 new mexico
2344: prince                        stephanie mills
2345: tyrod taylor                  matt barkley
2347: february 6, 2018              march 13, 2018
2348: 21                            13
2349: robert parish                 kevin garnett
2350: kevin willis                  kevin garnett
2353: an official secession conventionwilliam henry gist
2356: julian baker                  eric
2357: rajyavardhan singh rathore    arun jaitley
2359: fine gael                     fianna fail
2361: james s. coleman              thomas jefferson
2362: george w. bush                dwight d. eisenhower
2363: at least 9000 bc              ancient greece
2364: bobby stokes                  jesse lingard
2365: civilians                     henry dodge
2366: young adult mystery comedy novelyoung adult mystery
2367: biomedical and public health researchbiomedical
2369: 1980                          2008
2370: cassie scerbo                 cassandra lynn scerbo
2374: the palais garnier opera housethe royal albert hall
2377: chris young                   ronnie spector
2378: wab kinew                     hugh john macdonald
2379: caoife coleman                michael showalter
2380: mishay petronelli             michael showalter
2382: darryl sittler                100
2384: jace everett                  chris dubois
2386: jim duggan                    moolah
2387: juan sebasti\xc3\xa1n elcano  juan sebastian elcano
2390: 1863                          the middle of the 19th century
2391: the house of representatives  impeachment and conviction
2392: ram nath kovind               nath kovind
2394: diffusion                     lungs
2395: the eighth season             eighth
2397: jake                          matty
2398: $3.9 billion                  $3.98 billion
2399: a multi-purpose arena / facilitymulti-purpose arena
2400: november 24, 1998             1985
2401: ray singer                    peter sarstedt
2403: cancelled after its first season20 november 2020
2404: 1934                          1877
2405: crust                         inner core
2408: 221 -- 206 bc                 7th century bc
2409: wisconsin                     north carolina
2411: thursdays                     april 20, 2018
2412: chicago bears                 baltimore ravens
2414: blue                          jami ferrell
2417: meiji                         meiji period
2418: 2015                          june 19, 2015
2419: the crocodile                 `` lacey ''
2420: vegetable oil                 sperm oil
2421: alexithymia                   apathy
2427: near murfreesboro, tennessee  middle tennessee
2429: sachin tendulkar              brian lara
2430: $37.2 billion                 over $14 billion
2431: season 2, episode 7           the flash
2432: suggestive dialogue           digital - 9
2433: owen hunt                     teddy altman
2434: keith veney                   13
2436: an oil embargo                increased inflation
2439: paul the apostle              vladimir lenin
2440: kingdom of denmark            denmark
2441: heath ledger                  ethan peck
2443: colleen rose dewhurst         barbara hamilton
2444: july 2009                     july 8, 2009
2445: july 1998                     1998
2448: the new zealand national partycentre - right
2451: 2019                          august 2, 2018
2452: roger federer                 michael chang
2453: august 20, 2018               august 25, 2017
2454: 1827                          1777
2455: late september through mid-octoberspring
2456: paul the apostle              silas
2457: tina majorino                 deb
2458: three                         rajasthan
2460: confederacy                   union victory
2461: 13 december 1977              december 1977
2463: aquaria                       kameron michaels
2464: asia o'hara                   kameron michaels
2465: eureka                        kameron michaels
2467: 1970                          2018
2468: 1998                          2018
2469: 1994                          2018
2471: 1986                          2018
2472: i 'm sorry                    lucy in the sky
2474: queenstown, new zealand       moke lake
2475: sydney, australia             moke lake
2476: `` ben - semination ''        season 6
2478: july 22, 2020                 2019
2479: constance billard             yale university
2480: population density            urban density
2481: union                         union victory
2483: early 1980s                   1957
2484: kazuya souma                  the gifted
2485: gabriel's horn                apeirogon
2486: a predominantly white audiencebooker t. washington
2487: temi orelaja                  georgia groome
2488: mitribah, kuwait              mitribah kuwait
2491: timon and pumbaa              pumbaa
2492: bond gideon ( 1980 )          jess walton
2493: the mcmartin preschool trial  nuremberg trials
2494: 1930s                         about 1880
2495: almost entirely of birch      okoume
2496: rob riggle                    jerry kramer
2497: coal                          oil
2499: 16 march 1815                 1815
2500: 1908                          2016
2503: titus welliver                michael mcshane
2504: 1941                          7 december 1941
2505: lieutenant general charles cornwallischarles cornwallis
2507: daniel richard goddard        daniel goddard
2508: mariah carey                  the dixie chicks
2509: felicity jones                eddie redmayne
2512: new delhi                     trakai island castle
2513: 1943                          october 1, 1943
2514: frederick `` fred '' stoller  fisher stevens
2516: ghana                         germany
2517: portugal                      germany
2518: abdomen                       below the diaphragm
2520: the modern steam turbine      fossil fuels
2522: baldwin park, california      1948
2523: improve european prosperity   remove trade barriers
2524: rebuild war - torn regions    remove trade barriers
2525: prevent the spread of communismremove trade barriers
2527: modernize industry            remove trade barriers
2529: michael faraday               b.f. skinner
2530: sir charles baskerville       sir charles
2535: bryce gheisar                 kj apa
2537: december 13, 2016             april 15, 2016
2539: industrial revolution         technology
2540: scrolling                     for scrolling
2541: 2015                          february 13, 2015
2542: yamuna                        yamuna river
2543: 16th to 20th centuries        16th century
2545: hibiscus sabdariffa           zoroaster
2547: matthias schleiden and theodor schwanntheodor schwann
2548: marshmello                    kelly clarkson
2549: maddie poppe                  kelly clarkson
2550: carrie underwood              kelly clarkson
2551: charlie puth                  kelly clarkson
2553: echosmith                     kelly clarkson
2554: meghan trainor                kelly clarkson
2555: infected                      fireflies
2556: 1980                          1984
2558: operation market garden       latin
2559: jack o'connell                jeff daniels
2560: lower assembly                rifling twist
2561: pregnancy                     due to her pregnancy
2562: the marshall tucker band      melissa ferrick
2564: the angel of christian charityeros
2566: vanessa evigan                lauren woodland
2568: county mayo                   county galway
2571: arabian stallion              chestnut
2573: one's environment             happiness and success
2575: walt disney                   greer garson
2576: 5                             four
2578: 2010                          1956
2580: country                       sovereign
2581: 1541 vine street              1708 vine street
2582: lewes, delaware               atlantic ocean
2583: alec baldwin                  chevy chase
2584: 1903                          1923
2586: 6 may 2010                    march 10, 2000
2587: deep purple                   ian gillan
2589: fort davis                    wichita falls
2590: `` dog ''                     garmr
2591: 25                            13
2593: 38                            10
2594: carbon dioxide                atp molecules
2596: fifth planet from the sun     from the sun
2597: cristiano ronaldo             lionel messi
2598: the colonies of british americanew france
2599: april 2018                    april 26, 2019
2601: greater than 7                7.3
2602: erwin brothers                j. michael finley
2604: abu sufyan ibn harb           abu sufyan
2605: joseph ( david campbell )     david campbell
2609: \xc3\x89ponine                eponine
2611: system software               manages computer hardware
2612: coldstream guards             phil collins
2613: may 28, 2008                  april 10, 2008
2614: december 15, 1791             december 15, 2017
2615: february 2002                 2002
2616: `` walk of punishment ''      breaker of chains
2617: on stranger tides :           dead man's chest
2618: at world's end :              dead man's chest
2619: dead man's chest :            dead man's chest
2620: nagasaki                      hiroshima
2622: 6                             13
2623: earl hamilton                 babe ruth
2624: february 5, 2017              2005
2625: instagram's own account       selena gomez
2626: kaiser foundation hospitals   henry j. kaiser
2627: permanente medical groups     henry j. kaiser
2628: 10 episodes                   70
2629: nucleases                     gastric juice
2630: lipases                       gastric juice
2631: proteases and peptidases      gastric juice
2632: amylases                      gastric juice
2634: 74.04 percent                 74.04 %
2636: peter tork                    michael nesmith
2637: micky dolenz                  michael nesmith
2642: chimborazo                    everest
2643: the united states             united states
2645: knee joints and ankle joints  the knee
2646: kristinia debarge             kiyomi leslie
2647: tj mizell                     kiyomi leslie
2648: angela simmons                kiyomi leslie
2649: vanessa simmons               kiyomi leslie
2650: egypt criss                   kiyomi leslie
2651: romeo miller                  kiyomi leslie
2652: boogie dash                   kiyomi leslie
2653: english glamour model corinne russellcorinne russell
2655: evanston, il                  evanston, illinois
2656: sarah hotchkiss trendell      sam drucker
2658: los angeles dodgers           houston astros
2659: 1976                          november 2006
2660: a restaurateur                proprietor
2661: al harris                     ned beatty
2662: tika sumpter                  jessica chastain
2663: marty                         zecora
2664: stephen curry                 manu ginobili
2665: the final countdown           annapolis, maryland
2667: bethany joy lenz              gabrielle union
2670: candice brown                 edd kimber
2671: seadew                        peace
2673: the adrenal medulla           the sympathetic nervous system
2675: january 21, 1977              december 17, 1976
2677: a basic word processor        basic word processor
2679: october 17, 2017              october 17
2680: synovial joint                hip
2681: cartilaginous joint           hip
2682: fibrous joint                 hip
2683: 100 microamperes              detecting and indicating an electric current
2684: hugh hurwitz                  mark s. inch
2685: $11.00 per hour               $7.25
2686: bihar                         uttar pradesh
2687: paul mccartney                don heck
2688: 208                           52
2689: march 23, 2018                june 1, 2018
2690: mayim chaya bialik            mayim bialik
2691: the avengers                  titanic
2693: avatar                        titanic
2694: jurassic world                titanic
2695: daniel isaac mcguffey         jessie preston
2696: an annual financial statement annual financial statement
2697: july 1980                     1982
2698: yukio yokozawa                1982
2699: december 7, 1982              1976
2701: mitochondria                  endoplasmic reticulum
2703: rivers rutherford             george teren
2704: secretariat                   sofia
2705: 1881                          about 1950
2706: ch\xc3\xa2teau de chillon     geneva
2708: thucydides                    aristotle
2710: jon corzine                   phil murphy
2711: 1996 -- 97                    2016 -- 17
2713: nick slater                   rachael ray
2714: the republic of china         china
2715: the empire of japan           china
2716: the united states             brazil
2719: september 1939                4 september 1939
2720: harvard university            columbia university
2721: yale university               columbia university
2723: dartmouth college             columbia university
2724: brown university              columbia university
2725: cornell university            columbia university
2726: university of pennsylvania    columbia university
2727: princeton university          columbia university
2728: between 1756 and 1763         1756
2729: a collective defence treaty   collective defence treaty
2731: christina aguilera            leslie feist
2733: 2011                          2011 -- 12
2734: in the sixth season           sixth season
2735: jorge t. almonte              abdullah d. dimaporo
2737: tiber                         tiber ( )
2738: pieman                        a chef
2740: beefsteak                     amoroso roll
2741: david cross                   ian hawke
2742: region 3 : south              southeastern and mid-atlantic regions
2744: sucheta kriplani              mamata banerjee
2745: los angeles, california       los angeles
2748: seth macfarlane               dana carvey
2749: non-essential fatty acids     essential fatty acids
2750: a chorus line                 marcia hines
2752: wiltshire, england            west of amesbury
2753: the buckwheat boyz            marcus bowens
2754: 129                           13
2755: first national bank           nedbank
2756: capitec bank limited          nedbank
2757: discovery bank limited        nedbank
2758: african bank limited          nedbank
2759: bidvest bank limited          nedbank
2763: joshua paul dallas            tyler jacob moore
2764: helium                        induced nuclear fission
2766: 2008                          2016
2767: alvin lee                     tommy sims
2768: $61,372 in 2017               $59,039
2769: october 27, 2017              in 2019
2770: november 1935                 1935
2772: an unknown recipient          an unnamed friend
2773: bobby moynihan                eric edelstein
2774: demetri martin                eric edelstein
2777: major anderson                the union garrison
2778: five                          1
2779: 1966 -- 67                    1967
2780: gemma and clay                gemma
2782: the italian city of pisa      galileo galilei
2783: 2006                          2018
2784: 2014                          2013
2785: shinsuke j. sugiyama          caroline kennedy
2786: july 13, 1973                 1973
2789: newt gingrich and dick armey  dick armey
2791: `` philadelphia               chittagong
2792: june 25, 2017                 june 30, 2019
2796: reformers                     augustine
2798: henry cooper                  sir henry cooper
2799: blake gibbons                 john lehr
2804: parliament                    congress
2806: venous circulation            the ventricles
2807: colton haynes                 meadow wilton
2808: 26 september 1983             november 1958
2809: small intestine               the small intestine
2810: jonathan adam saunders barucheljay baruchel
2811: february 13, 2018             october 7, 2018
2812: may 16, 1918                  1798
2813: genie francis                 sharon collins
2814: the simpsons                  alexis carrel
2815: 1963                          october 8, 2013
2816: j'son                         spartoi j'son
2817: lego                          the lego group
2818: united states                 the united states
2819: niagara river                 the great lakes
2820: hudson river                  the great lakes
2821: katharine houghton            sidney poitier
2822: katharine hepburn             sidney poitier
2823: roy e. glenn                  sidney poitier
2824: spencer tracy                 sidney poitier
2825: beah richards                 sidney poitier
2827: 89 minutes                    13 minutes
2828: qualcomm snapdragon 835 cpu   nokia 8
2829: gene raskin                   mary hopkin
2833: philomath                     erudite
2835: 1970s                         the late 1990s
2836: zakir husain                  fakhruddin ali ahmed
2837: prime minister najib razak    narendra modi
2838: prime minister nguy\xe1\xbb\x85n xu\xc3\xa2n ph\xc3\xbacnarendra modi
2839: prime minister hun sen        narendra modi
2840: prime minister thongloun sisoulithnarendra modi
2841: sultan hassanal bolkiah       narendra modi
2842: prime minister lee hsien loongnarendra modi
2843: president rodrigo roa duterte narendra modi
2844: president joko widodo         narendra modi
2846: the delorean dmc - 12         delorean dmc - 12
2847: sid tepper                    bert kaempfert
2848: carmella                      alexa bliss
2850: supernovae                    sandstone
2852: visa required                 visa not required
2853: april 4, 2006                 1893
2855: romans 16 : 21                greek
2857: 1,822                         approximately 81,000
2859: vibe                          carlos david valdes
2861: natchez, mississippi          nashville, tennessee
2862: in 1980                       1980
2863: ashok narula                  kapurthala
2864: annakutty babu                kapurthala
2865: d.a. chaturvedi               kapurthala
2866: neeraj kapur                  kapurthala
2867: the soviet union              the united states
2869: 125 minutes                   2d
2870: iris                          iris west
2871: in philadelphia, pennsylvania pennsylvania state house
2874: american girl group fifth harmonyfifth harmony
2875: wakanda                       myron maclain
2876: september 14, 2008            january 2009
2877: president abraham lincoln     oliver o. howard
2878: the rembrandts                michael skloff
2879: david crane                   michael skloff
2881: danny wilde                   michael skloff
2882: allee willis                  michael skloff
2883: marta kauffman                michael skloff
2884: phil s\xc5\x8dlem             michael skloff
2886: american singer kehlani       kehlani
2887: henry johnson                 audie leon murphy
2888: benjamin kaufman              audie leon murphy
2889: archie a. peck                audie leon murphy
2890: fifth title                   5
2891: bobby scott                   bob russell
2893: michigan                      alabama crimson tide
2895: 1608                          the 1690s
2896: babafemi ogundipe             alex ifeanyichukwu ekwueme
2897: early september               1 september
2898: shana                         mona
2899: manfred mann                  edith piaf
2901: the german band nena          nena
2902: 1814                          april 1782
2903: 6                             six
2904: iran                          egypt
2906: the world's fair              green bay
2907: the rivalry with cincinnati   green bay
2908: the weather                   green bay
2909: politics                      green bay
2910: gaba receptor positive modulatorsalcohol
2911: central depressants           alcohol
2912: euphoriants                   alcohol
2913: anxiolytics                   alcohol
2914: sedatives                     alcohol
2915: subjective                    simple object access protocol
2917: beatles for sale              beatles vi
2919: the supreme court             congress
2921: february 27, 2018             october 10, 2017
2924: 10                            50
2925: meat                          german democratic republic
2926: a brain haemorrhage           brain haemorrhage
2928: taklamakan desert             gobi desert
2930: 1,004                         1,014
2933: bar room                      cellar
2934: saloon                        cellar
2935: day 34                        18 may 2018
2936: on the east of eden           the east of eden
2938: yumna ajin                    shreyan bhattacharya
2939: sonakshi kar                  shreyan bhattacharya
2940: dhroon tickoo                 shreyan bhattacharya
2941: jayas kumar                   shreyan bhattacharya
2942: riya biswas                   shreyan bhattacharya
2943: shanmukhapriya                shreyan bhattacharya
2944: anjali gaikwad                shreyan bhattacharya
2947: the celestial sky             around the galactic core
2948: origins are unknown           rosetta tharpe
2949: purple violet                 maple leaf
2950: scott la rock                 flavor flav
2951: angelique kerber              serena williams
2952: the flag of chile             flag of chile
2953: oscar                         mary riggs
2954: martin starr                  mary riggs
2955: dr. lexie grey                lexie grey
2956: paul and linda mccartney      paul mccartney
2959: elizabeth maclennan           lloyd reckord
2961: 3780 south las vegas boulevardparadise, nevada
2963: octavian                      antony
2966: the inner mitochondrial membranethylakoid membrane
2969: eric allen stonestreet        eric stonestreet
2970: fauvism                       impressionism
2971: atp produced by mitochondria  muscle contraction
2972: over 2.7 million              3.3 million
2973: 1917                          june 1917
2974: 3 september 1953              1953
2975: two                           153
2977: stepfather ganelon            ganelon
2978: october 17, 2017              september 5
2979: the gap band,                 the gap band
2980: central mexico                mexico
2982: frank morris                  john anglin
2984: clarence anglin               john anglin
2985: the beasley brothers          jonas arnason
2987: none                          nate thurmond
2988: workers ' councils            soviet socialist republics
2989: jada pinkett smith            bettina bush
2990: owner / user                  developers
2992: renter                        developers
2993: facilitators                  developers
2994: owner                         developers
2995: renovators                    developers
2997: december 7, 1917              april 1917
2998: vancouver, british columbia   british columbia
3001: flynn jones                   adam irigoyen
3002: inner ear                     labyrinth of the inner ear
3003: czk 23,859                    $35, 223
3004: columbia university           harvard university
3005: team usa                      canada
3006: canadian shield               the canadian shield
3007: thirty - five                 35
3008: 2                             two net molecules
3010: kamal givens                  ahmad givens
3011: asha bhosle                   lata mangeshkar
3012: narendra modi                 jawaharlal nehru
3013: prosencephalon                the striatum
3017: united kingdom                france
3019: james lillywhite              geoffrey boycott
3020: humpty alexander dumpty       kitty softpaws
3021: earth - crossers              asteroid belt
3024: october 23, 2001              june 5, 2007
3025: geoff stults                  jenna fischer
3026: gettysburg                    battle of antietam
3027: donald trump                  president donald trump
3028: barack obama                  president donald trump
3029: george h.w. bush              president donald trump
3030: bill clinton                  president donald trump
3031: george w. bush                president donald trump
3032: 1984                          1989
3033: rome, italy                   chatsworth
3034: 2014                          august 1, 2014
3035: kyla coleman                  krista white
3036: december 23, 2017             2017
3037: crust                         inner core
3038: 104                           110
3039: his father's funeral          the harlem riot
3040: the old norse word haugr      old norwegian
3042: chapter 26                    season two
3043: flag day in 1954              1954
3044: multiple means of engagement  learning products
3045: multiple means of representationlearning products
3046: multiple means of expression  learning products
3048: hans gross                    c. 1700 bce
3049: matt hales                    screamin' jay hawkins
3050: kim oliver                    screamin' jay hawkins
3051: oliver stark                  ian alexander
3053: de lisle carbine              pattern 1913 enfield
